@relation fact_checker

@attribute name_feature string
@attribute avg_page_rank_confirming numeric
@attribute avg_page_rank_non_confirming numeric
@attribute total_hit_count numeric
@attribute avg_topic_coverage_confirming numeric
@attribute avg_topic_coverage_non_confirming numeric
@attribute avg_topic_majority_web_confirming numeric
@attribute avg_topic_majority_web_non_confirming numeric
@attribute avg_topic_majority_search_confirming numeric
@attribute avg_topic_majority_search_non_confirming numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute number_of_possibly_confirming_facts numeric
@attribute number_of_possibly_confirming_sites numeric
@attribute max_number_of_possible_confirming_fact numeric
@attribute total_evidence_score numeric
@attribute class {true,false}

@data
party_7.ttl,1,0,889,1,0.897222,18,69,0.543478,17.152174,0,0,1,1,1,0.1,true
computing_platform_6.ttl,1.153846,0,94148,0.464286,0.315789,40,40,7.140845,26.464789,30,4,22,14,27,32.9,true
distributor_0.ttl,1,0,471,1,0.894737,323,359,2.634146,29.853659,0,0,3,3,2,0.6,true
city_9.ttl,0,0,35,0.631579,0.551084,11,19,0.222222,2.444444,0,0,1,1,1,0.3,true
product_8.ttl,1.727273,0,564201,1,0.815476,536559,536801,18.294737,113.926316,5,3,28,21,2,8.8,true
recorded_in_0.ttl,0,0,934,0,0,0,2,0,0,0,0,0,0,0,0,true
award_0.ttl,0,0,1,0,0.55,0,0,0,0,0,0,0,0,0,0,true
musical_band_5.ttl,1,0,485,0.5,0.291667,0,0,0.894737,8.842105,0,0,2,2,8,0.5,true
state_4.ttl,1,0,266,0.78,0.638889,200,204,1.65625,6.46875,0,0,16,5,2,1.6,true
industry_7.ttl,0,0,1198083,0,0.368539,0,399161,0,19.94382,0,0,0,0,0,0,true
associated_musical_artist_5.ttl,1.444444,0,29964,0.742308,0.56044,1011,1012,5.123711,15.247423,14,7,19,18,30,17,true
city_3.ttl,1,0,220910,0.717172,0.55944,104055,104061,1.381818,32.084848,0,0,12,9,6,1.5,true
family_1.ttl,0,0,54,0.95,0.929412,20,28,1.684211,12.526316,0,0,3,2,1,0.5,true
order_2.ttl,2.5,0,3,0.571429,0,1,0,1,0,0,0,2,2,1,0.2,true
ground_0.ttl,0,0,11,0,0,4,7,0,0,0,0,2,2,1,0.5,true
computing_platform_1.ttl,1,0,89787,0.8,0.76923,47313,47712,4.819444,43.236111,2,1,9,7,10,1.5,true
format_5.ttl,0,0,17040,0.727273,0.434343,15,27,0.326087,6.282609,0,0,1,1,1,0.2,true
successor_7.ttl,0,0,190,0,0.749425,0,53,0,6.482759,0,0,0,0,0,0,true
award_3.ttl,2,0,3,0.611111,0.277778,0,0,0,0,0,0,2,1,1,0.3,true
starring_2.ttl,1,0,663,0.525,0.441026,8,10,1.382979,7.765957,3,2,13,8,2,4.9,true
music_composer_4.ttl,1,0,243447,0.5,0.391509,25,47,7.931034,65.827586,3,3,17,9,2,5.2,true
is_part_of_9.ttl,2,0,22,0.675,0.882143,5,9,0.4375,3.1875,0,0,2,2,6,0.5,true
city_5.ttl,0.470588,0,474,0.513889,0.469298,299,306,7.837838,4.702703,14,4,104,18,4,27.5,true
writer_9.ttl,2.222222,0,41460,0.625,0.60967,58808,59525,1.698413,9.603175,3,2,14,10,6,5,true
department_0.ttl,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,0,true
current_member_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
commander_0.ttl,1.8,0,29207,0.930556,0.774854,24707,24707,0.814815,1.925926,0,0,18,8,16,2.3,true
battle_8.ttl,0,0,374,1,0.659574,29,337,0.843137,10.803922,0,0,10,4,3,1.4,true
writer_0.ttl,1.8,0,157815,0.5,0.339674,179,195,1.474227,23.762887,3,2,4,4,13,3.7,true
award_8.ttl,4,0,11,1,1,3,7,0.4,0.8,0,0,3,1,1,0.3,true
department_9.ttl,2,0,43,0.9375,0.742647,9,34,0,3,0,0,1,1,1,0.1,true
department_8.ttl,0,0,13,0,0.611765,0,5,0,1.2,0,0,0,0,0,0,true
successor_6.ttl,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,true
ground_9.ttl,3,0,9,1,0.769231,3,4,0,0.666667,0,0,1,1,1,0.2,true
alma_mater_4.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
subsequent_work_6.ttl,0,0,350205,0,0.430272,0,424104,0,36.408163,0,0,0,0,0,0,true
family_6.ttl,2.5,0,1380,0.375,0.260606,16,18,1.513514,13.189189,8,1,9,4,4,1.1,true
language_8.ttl,0,0,197,0,0,0,195,0,0,0,0,0,0,0,0,true
party_5.ttl,3,0,52,1,0.793333,8,31,0.25,2.5,0,0,2,1,1,0.3,true
region_7.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
battle_9.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
previous_work_5.ttl,0.818182,0,74926,0.722488,0.651401,49524,50057,2.397727,17.852273,7,6,16,11,56,8.3,true
battle_5.ttl,3,0,4,0.894737,0.947368,2,2,0.5,0.5,0,0,1,1,1,0.1,true
musical_artist_6.ttl,1.076923,0,226410,0.583333,0.622794,192900,193367,3.678571,7.714286,10,4,141,27,44,28.6,true
party_2.ttl,1.043478,0,155038,0.798942,0.645279,140641,164641,6.462069,20.406897,14,4,52,27,8,20.2,true
phylum_4.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
state_3.ttl,0.666667,0,212,0.852941,0.457219,26,27,0.423077,1.5,0,0,4,4,10,0.7,true
battle_2.ttl,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,true
location_0.ttl,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,true
binomial_authority_8.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
residence_0.ttl,0.875,0,13331,0.592105,0.442982,537,539,1.645833,3.979167,8,5,16,9,7,10,true
alma_mater_7.ttl,1.75,0,29,0.791667,0.800926,20,27,0.636364,4.272727,2,1,8,4,1,1.3,true
publisher_3.ttl,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,true
kingdom_8.ttl,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,true
class_4.ttl,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,true
residence_5.ttl,0,0,29,0,0.529915,0,18,0,1.666667,0,0,0,0,0,0,true
binomial_authority_9.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
death_place_2.ttl,0.5,0,29273,0.833333,0.727464,417,1470,1.633929,28.098214,0,0,12,6,14,1.7,true
associated_band_8.ttl,0,0,6,0,0.866667,0,5,0,1.2,0,0,0,0,0,0,true
associated_band_2.ttl,2,0,278,0.5,0.565549,10,206,0.285714,6.619048,0,0,2,1,1,0.2,true
kingdom_3.ttl,0,0,1902,0,0,0,7,0,0,0,0,0,0,0,0,true
artist_8.ttl,1.363636,0,115952,0.583333,0.440461,201,206,2.277108,16.662651,26,7,135,16,25,36.9,true
owner_7.ttl,0,0,26,0,0,8,21,0,0,0,0,1,1,3,0.2,true
owner_0.ttl,0,0,14,0,0,8,8,0,0,3,3,3,2,3,3.5,true
record_label_7.ttl,0,0,556,0,0.581019,0,549,0,9.222222,0,0,0,0,0,0,true
manager_club_7.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
musical_artist_8.ttl,1.333333,0,184531,0.73,0.66124,195906,195925,5.386792,13.141509,5,3,62,20,101,13.8,true
associated_musical_artist_4.ttl,5,0,54378,0.857143,0.542857,35200,36291,0.164948,16.247423,0,0,3,2,1,0.5,true
kingdom_0.ttl,0,0,95,0,0.763736,0,62,0,8.538462,0,0,0,0,0,0,true
time_zone_4.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
producer_9.ttl,3,0,645,0.733333,0.526126,161,392,0.394737,8.447368,0,0,1,1,1,0.1,true
division_4.ttl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,true
commander_7.ttl,0,0,211,0,0,0,210,0,0,0,0,0,0,0,0,true
order_5.ttl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,true
state_5.ttl,2.811594,0,576207,0.668403,0.473214,701481,701487,19.631579,5.789474,141,30,1450,69,48,324.1,true
director_8.ttl,4,0,13,0.6875,0.2875,1,1,0.333333,0.666667,2,1,1,1,1,2.1,true
home_town_3.ttl,0,0,120587,0.942857,0.651852,55164,128387,1.352113,25.746479,0,0,8,7,9,1.1,true
birth_place_6.ttl,1.545455,0,235556,0.567308,0.413564,119770,120283,2.467532,23.324675,3,2,20,12,27,6.1,true
city_2.ttl,0,0,228,0.407407,0.357143,0,0,1.096774,10.967742,2,1,7,3,12,3.1,true
department_7.ttl,0,0,33,0,0.650376,0,26,0,3.578947,0,0,0,0,0,0,true
publisher_5.ttl,2.5,0,2024,0.65,0.578049,813,1223,3.102041,19.918367,18,3,8,6,9,19.3,true
class_1.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,true
product_2.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,true
family_4.ttl,2.333333,0,424,0.541667,0.559375,16,23,0.782609,3.217391,0,0,4,3,1,0.7,true
division_8.ttl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,true
genus_5.ttl,1.75,0,21,0.895833,0.777778,18,18,1,2.875,0,0,5,4,15,0.9,true
record_label_8.ttl,0,0,353,0,0.812057,0,340,0,17.404255,0,0,0,0,0,0,true
branch_4.ttl,1.333333,0,199,0.871795,0.748718,188,194,1.388889,3.777778,0,0,7,6,4,1.3,true
computing_platform_0.ttl,0,0,62514,0.833333,0.729798,31429,32231,0.478261,33.144928,0,0,4,3,1,0.5,true
starring_0.ttl,1.545455,0,222245,0.818182,0.662679,171000,200545,3.802198,13.296703,7,5,20,14,6,8.5,true
kingdom_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
director_7.ttl,1.25,0,25301,0.270833,0.207547,6,11,4.360656,20.262295,12,4,9,7,7,13.2,true
death_place_3.ttl,2,0,55200,0.863636,0.744256,1313,3366,1.814433,23.257732,0,0,12,6,25,1.4,true
alma_mater_8.ttl,1,0,35,0,0,10,27,0,0,0,0,1,1,1,0.1,true
format_6.ttl,0,0,631,0.7,0.463636,10,197,0.177778,5.511111,0,0,1,1,1,0.3,true
industry_3.ttl,1,0,135805,0.47619,0.468894,61209,138390,2.055118,59.299213,0,0,3,3,1,0.4,true
team_0.ttl,1,0,132742,0.73125,0.486992,37120,138335,0.740458,8.709924,0,0,9,8,3,1.4,true
language_4.ttl,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,true
recorded_in_4.ttl,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,true
home_town_6.ttl,0,0,375,0,0,0,369,0,0,0,0,0,0,0,0,true
is_part_of_8.ttl,1,0,17,0.875,0.767857,1,14,0.333333,1.933333,0,0,2,1,5,0.3,true
current_member_4.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
starring_5.ttl,0.5,0,41208,0.833333,0.444444,335,341,2,7.774194,0,0,8,8,4,1.2,true
director_5.ttl,1.583333,0,407294,1,0.815789,237600,339494,8.622047,66.401575,14,3,17,11,6,16.6,true
genus_9.ttl,3,0,16,1,0.4375,4,11,0.111111,0.777778,0,0,1,1,2,0.3,true
birth_place_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
home_town_0.ttl,1.6,0,46764,0.511111,0.473474,27312,27500,1.275862,17.810345,0,0,5,5,7,0.9,true
genre_2.ttl,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,true
associated_band_1.ttl,0,0,176960,0,0.427857,0,119006,0,29.229358,0,0,0,0,0,0,true
artist_9.ttl,1.1875,0,58988,0.496732,0.425397,24251,24759,6.586207,28.632184,21,5,36,17,22,24,true
current_member_0.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
award_5.ttl,4,0,13,0,0,0,0,0,0,0,0,1,1,1,0.2,true
branch_6.ttl,0,0,441,0.642857,0.6,190,213,0.452381,8.928571,0,0,2,2,1,0.3,true
phylum_7.ttl,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,true
district_4.ttl,0,0,18,0,0,0,12,0,0,0,0,0,0,0,0,true
owner_6.ttl,0,0,45,0,0,10,45,0,0,0,0,3,1,5,0.3,true
product_5.ttl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,true
writer_8.ttl,3.6,0,42289,0.8125,0.705769,28800,45500,0.7,7.814286,10,2,5,5,1,11,true
binomial_authority_1.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
distributor_1.ttl,1.5,0,58925,0.5,0.594982,66900,68216,0.231579,16.631579,0,0,3,2,1,0.5,true
language_3.ttl,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,true
musical_artist_4.ttl,0.35,0,227339,0.43956,0.403212,237657,237659,8.473214,22.508929,4,2,62,21,33,12.9,true
commander_3.ttl,0,0,7,0,0.526786,0,6,0,0.285714,0,0,0,0,0,0,true
country_2.ttl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,true
genre_3.ttl,0,0,14,0,0.846154,0,10,0,5.4,0,0,0,0,0,0,true
successor_3.ttl,0,0,1058,0.25,0.45,323,349,0.763158,12.763158,0,0,7,6,1,1.2,true
country_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
recorded_in_6.ttl,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,true
order_3.ttl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,true
alma_mater_5.ttl,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,true
family_2.ttl,2,0,1011,0.388889,0.434921,11,13,1.25641,7.102564,0,0,8,4,4,1.4,true
commander_5.ttl,0,0,3,0,0.770833,0,2,0,2,0,0,0,0,0,0,true
music_composer_6.ttl,0,0,19,0.7,0.822222,7,10,0.454545,1.181818,0,0,2,2,2,0.4,true
